"","row","col","coinA","coinB","rho"
"1",2,6,"BTCUSDT","SOLUSDT",0.990405879227515
"2",2,3,"BTCUSDT","ETHUSDT",0.976131602376413
"3",3,6,"ETHUSDT","SOLUSDT",0.973261852907496
"4",2,5,"BTCUSDT","PROMPTUSDT",0.918233120476213
"5",5,6,"PROMPTUSDT","SOLUSDT",0.902171292278685
"6",6,8,"SOLUSDT","WIFUSDT",0.891744283948983
"7",3,5,"ETHUSDT","PROMPTUSDT",0.875153409274283
"8",2,8,"BTCUSDT","WIFUSDT",0.838438882585267
"9",8,9,"WIFUSDT","XRPUSDT",0.826967562435676
"10",5,8,"PROMPTUSDT","WIFUSDT",0.807020981131355
"11",3,8,"ETHUSDT","WIFUSDT",0.801109806956903
"12",1,7,"ABUSDT","TONUSDT",-0.821016866447986
"13",4,7,"HUSDT","TONUSDT",-0.842512356035157
"14",1,9,"ABUSDT","XRPUSDT",-0.91874168911102
